date,season,league,home_team,away_team,market,model_prob,break_even_odds,benchmark_odds,profit_benchmark
2021-10-29,2122,Ligue 1,Paris SG,Lille,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-29,2122,Ligue 1,Paris SG,Lille,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-29,2122,Ligue 1,Paris SG,Lille,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-30,2122,La Liga,Barcelona,Alaves,OVER25,0.35,2.857142857142857,2.7210884353741496,-1.0
2021-10-30,2122,La Liga,Barcelona,Alaves,UNDER25,0.65,1.5384615384615383,1.4652014652014649,0.4652014652014649
2021-10-30,2122,La Liga,Barcelona,Alaves,BTTS_YES,0.35,2.857142857142857,2.7210884353741496,1.7210884353741496
2021-10-30,2122,La Liga,Barcelona,Alaves,BTTS_NO,0.65,1.5384615384615383,1.4652014652014649,-1.0
2021-10-30,2122,La Liga,Elche,Real Madrid,OVER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-30,2122,La Liga,Elche,Real Madrid,UNDER25,0.5,2.0,1.9047619047619047,-1.0
2021-10-30,2122,La Liga,Elche,Real Madrid,BTTS_YES,0.6,1.6666666666666667,1.5873015873015872,0.5873015873015872
2021-10-30,2122,La Liga,Elche,Real Madrid,BTTS_NO,0.4,2.5,2.380952380952381,-1.0
2021-10-30,2122,La Liga,Sevilla,Osasuna,OVER25,0.4,2.5,2.380952380952381,-1.0
2021-10-30,2122,La Liga,Sevilla,Osasuna,UNDER25,0.6,1.6666666666666667,1.5873015873015872,0.5873015873015872
2021-10-30,2122,La Liga,Sevilla,Osasuna,BTTS_YES,0.5,2.0,1.9047619047619047,-1.0
2021-10-30,2122,La Liga,Sevilla,Osasuna,BTTS_NO,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-30,2122,La Liga,Valencia,Villarreal,OVER25,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-10-30,2122,La Liga,Valencia,Villarreal,UNDER25,0.4,2.5,2.380952380952381,1.380952380952381
2021-10-30,2122,La Liga,Valencia,Villarreal,BTTS_YES,0.65,1.5384615384615383,1.4652014652014649,-1.0
2021-10-30,2122,La Liga,Valencia,Villarreal,BTTS_NO,0.35,2.857142857142857,2.7210884353741496,1.7210884353741496
2021-10-30,2122,Ligue 1,Lyon,Lens,OVER25,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-30,2122,Ligue 1,Lyon,Lens,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-30,2122,Ligue 1,Lyon,Lens,BTTS_YES,0.6,1.6666666666666667,1.5873015873015872,0.5873015873015872
2021-10-30,2122,Ligue 1,Lyon,Lens,BTTS_NO,0.4,2.5,2.380952380952381,-1.0
2021-10-30,2122,Ligue 1,Metz,St Etienne,OVER25,0.7,1.4285714285714286,1.3605442176870748,-1.0
2021-10-30,2122,Ligue 1,Metz,St Etienne,UNDER25,0.30000000000000004,3.333333333333333,3.174603174603174,2.174603174603174
2021-10-30,2122,Ligue 1,Metz,St Etienne,BTTS_YES,0.7,1.4285714285714286,1.3605442176870748,0.3605442176870748
2021-10-30,2122,Ligue 1,Metz,St Etienne,BTTS_NO,0.30000000000000004,3.333333333333333,3.174603174603174,-1.0
2021-10-30,2122,Serie A,Atalanta,Lazio,OVER25,0.7,1.4285714285714286,1.3605442176870748,0.3605442176870748
2021-10-30,2122,Serie A,Atalanta,Lazio,UNDER25,0.30000000000000004,3.333333333333333,3.174603174603174,-1.0
2021-10-30,2122,Serie A,Atalanta,Lazio,BTTS_YES,0.75,1.3333333333333333,1.2698412698412698,0.26984126984126977
2021-10-30,2122,Serie A,Atalanta,Lazio,BTTS_NO,0.25,4.0,3.8095238095238093,-1.0
2021-10-30,2122,Serie A,Torino,Sampdoria,OVER25,0.6000000000000001,1.6666666666666665,1.587301587301587,0.587301587301587
2021-10-30,2122,Serie A,Torino,Sampdoria,UNDER25,0.3999999999999999,2.5000000000000004,2.3809523809523814,-1.0
2021-10-30,2122,Serie A,Torino,Sampdoria,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-10-30,2122,Serie A,Torino,Sampdoria,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,1.1164021164021167
2021-10-30,2122,Serie A,Verona,Juventus,OVER25,0.65,1.5384615384615383,1.4652014652014649,0.4652014652014649
2021-10-30,2122,Serie A,Verona,Juventus,UNDER25,0.35,2.857142857142857,2.7210884353741496,-1.0
2021-10-30,2122,Serie A,Verona,Juventus,BTTS_YES,0.75,1.3333333333333333,1.2698412698412698,0.26984126984126977
2021-10-30,2122,Serie A,Verona,Juventus,BTTS_NO,0.25,4.0,3.8095238095238093,-1.0
