segment,value,bets,wins,profit_units,hit_rate,roi,avg_odds,avg_edge
campionato,Premier League,263,95,13.569999999999995,0.3612167300380228,0.05159695817490492,3.298022813688213,0.10540771713650704
campionato,Bundesliga,276,90,5.920000000000002,0.32608695652173914,0.021449275362318845,3.6470652173913045,0.1175956646762415
campionato,Serie A,328,108,-14.710000000000006,0.32926829268292684,-0.044847560975609775,3.468536585365853,0.10209492894465888
campionato,La Liga,298,89,-23.63,0.2986577181208054,-0.07929530201342282,3.4397986577181205,0.10160902473729848
campionato,Ligue 1,259,74,-49.17,0.2857142857142857,-0.18984555984555984,3.6384555984555984,0.11574026110311852
campionato_esito,Premier League | D,22,9,13.52,0.4090909090909091,0.6145454545454545,3.9313636363636366,0.0713610816861918
campionato_esito,Bundesliga | D,58,14,2.1800000000000006,0.2413793103448276,0.03758620689655173,4.341896551724138,0.08441260309192639
campionato_esito,Serie A | D,119,32,3.5799999999999983,0.2689075630252101,0.030084033613445364,3.876386554621849,0.08764174429466833
campionato_esito,Bundesliga | A,218,76,3.74,0.3486238532110092,0.017155963302752295,3.4622018348623853,0.12642418564821525
campionato_esito,Premier League | A,241,86,0.04999999999999716,0.35684647302904565,0.000207468879668038,3.2402074688796683,0.10851570875437816
campionato_esito,La Liga | A,242,76,-15.140000000000002,0.3140495867768595,-0.06256198347107439,3.270123966942149,0.10892149465795402
campionato_esito,Serie A | A,208,76,-17.290000000000003,0.36538461538461536,-0.08312500000000002,3.22125,0.10988365976365205
campionato_esito,La Liga | D,56,13,-8.489999999999998,0.23214285714285715,-0.15160714285714283,4.173035714285715,0.0700087082944656
campionato_esito,Ligue 1 | A,238,70,-44.08,0.29411764705882354,-0.18521008403361344,3.5868487394957986,0.11978412697680474
campionato_esito,Ligue 1 | D,21,4,-5.09,0.19047619047619047,-0.24238095238095236,4.223333333333334,0.06990978120134143
campionato_esito,Serie A | H,1,0,-1.0,0.0,-1.0,6.37,0.2019678919429566
esito,D,276,72,5.700000000000002,0.2608695652173913,0.020652173913043484,4.065181159420289,0.08073853412033234
esito,A,1147,384,-72.72,0.33478639930252835,-0.0634001743679163,3.3572013949433304,0.114591267166225
esito,H,1,0,-1.0,0.0,-1.0,6.37,0.2019678919429566
fascia_edge,5-6.9%,230,63,27.85,0.27391304347826084,0.12108695652173913,4.670086956521739,0.06045491561536275
fascia_edge,12-15.9%,355,136,-14.900000000000006,0.38309859154929576,-0.04197183098591551,2.749718309859155,0.1381842492539256
fascia_edge,16%+,143,58,-6.4700000000000015,0.40559440559440557,-0.045244755244755255,2.456153846153846,0.18087125836827297
fascia_edge,9-11.9%,388,120,-30.049999999999997,0.30927835051546393,-0.07744845360824741,3.4513659793814435,0.10398469388316234
fascia_edge,7-8.9%,308,79,-44.449999999999996,0.2564935064935065,-0.14431818181818182,4.020909090909091,0.08036135226885623
fascia_quota,5.00+,172,28,25.849999999999994,0.16279069767441862,0.15029069767441858,7.221918604651163,0.0817478338495056
fascia_quota,1.55-1.79,117,69,-2.0299999999999985,0.5897435897435898,-0.017350427350427338,1.6644444444444442,0.12324076585509296
fascia_quota,2.20-2.79,260,102,-8.690000000000003,0.3923076923076923,-0.03342307692307694,2.4995384615384615,0.12760902616368125
fascia_quota,2.80-3.49,338,100,-20.190000000000005,0.2958579881656805,-0.0597337278106509,3.1557100591715974,0.1034152534466249
fascia_quota,1.80-2.19,175,78,-18.45,0.44571428571428573,-0.10542857142857143,2.0054857142857143,0.13396095632244115
fascia_quota,3.50-4.99,362,79,-44.51,0.21823204419889503,-0.12295580110497237,4.073729281767956,0.09355336988317785
totale,tutte,1424,456,-68.02000000000001,0.3202247191011236,-0.04776685393258428,3.4965379213483145,0.10809128282922385
