date,league,home_team,away_team,result,selection,model_probability,market_probability,edge,fair_odds,reference_odds,odds_source,profit_units
2025-08-23,Serie A,Genoa,Lecce,D,A,0.3132931467020318,0.2195871699515245,0.09370597675050729,3.1918987393333706,4.29,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-23,Serie A,Milan,Cremonese,A,D,0.23872569066582144,0.1854448153190032,0.053280875346818246,4.188908186676244,5.09,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-23,Serie A,Roma,Bologna,H,A,0.3718908514764047,0.2645080028263341,0.10738284865007064,2.6889610110870037,3.56,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Bundesliga,Mainz,FC Koln,A,A,0.33194339245511933,0.2370882486909053,0.09485514376421403,3.0125618485844865,3.95,Media mercato riportata da Football-Data.co.uk,2.95
2025-08-24,La Liga,Osasuna,Valencia,H,A,0.4325082949606638,0.3000568258471752,0.1324514691134886,2.3120943844347517,3.13,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,La Liga,Sociedad,Espanol,D,D,0.3347129638197911,0.2770171580288728,0.05769580579091832,2.987634505063265,3.39,Media mercato riportata da Football-Data.co.uk,2.39
2025-08-24,La Liga,Villarreal,Girona,H,A,0.24842013755183617,0.164667051402768,0.08375308614906818,4.025438556853454,5.69,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Ligue 1,Le Havre,Lens,A,A,0.6664809792376418,0.4859886391413321,0.1804923400963097,1.5004179131171242,1.93,Media mercato riportata da Football-Data.co.uk,0.9299999999999999
2025-08-24,Ligue 1,Lille,Monaco,H,A,0.557850346490934,0.4161984624454095,0.14165188404552453,1.792595462726403,2.25,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Ligue 1,Lorient,Rennes,H,A,0.4420203637488143,0.369098232729892,0.07292213101892231,2.2623392088068304,2.54,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Ligue 1,Strasbourg,Nantes,H,A,0.305197041644019,0.2102603379090486,0.0949367037349704,3.276571734159852,4.46,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Ligue 1,Toulouse,Brest,H,A,0.3386086493132272,0.2752627836814696,0.06334586563175759,2.9532618319946047,3.41,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Premier League,Crystal Palace,Nott'm Forest,D,A,0.41119787091605536,0.3078722215747659,0.10332564934128946,2.4319192066151203,3.07,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Premier League,Everton,Brighton,H,A,0.5413935463052868,0.4071201973916108,0.13427334891367598,1.847085187521074,2.32,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Premier League,Fulham,Man United,D,A,0.6108074945382097,0.4435031179040308,0.1673043766341789,1.637177030311379,2.13,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Serie A,Cagliari,Fiorentina,D,A,0.4819118658656948,0.4170398175081168,0.06487204835757798,2.0750682247751344,2.25,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Serie A,Como,Lazio,H,A,0.5021511719592604,0.3287924834325876,0.1733586885266728,1.9914321738974854,2.86,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-24,Serie A,Juventus,Parma,H,D,0.28597610506795024,0.2059220671306098,0.08005403793734045,3.496795649281229,4.58,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-25,La Liga,Ath Bilbao,Vallecano,H,D,0.3449099412566055,0.2641365971993832,0.08077334405722231,2.899307559407288,3.55,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-25,La Liga,Sevilla,Getafe,A,A,0.3688079215639932,0.2706383081434876,0.09816961342050562,2.7114385064163713,3.46,Media mercato riportata da Football-Data.co.uk,2.46
2025-08-25,Premier League,Newcastle,Liverpool,A,A,0.5985941028262797,0.4673909827820839,0.13120312004419576,1.6705811087654732,2.02,Media mercato riportata da Football-Data.co.uk,1.02
2025-08-25,Serie A,Udinese,Verona,D,A,0.3422372824416446,0.2374266439971479,0.10481063844449667,2.921949335460001,3.95,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-27,La Liga,Celta,Betis,D,A,0.3522416918778565,0.2977601181476141,0.05448157373024237,2.838959791127623,3.17,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-29,La Liga,Valencia,Getafe,H,A,0.3665085716961168,0.2598734221970796,0.10663514949903719,2.7284491475116983,3.63,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-29,Ligue 1,Lens,Brest,H,A,0.3222312097180087,0.2324699936828806,0.08976121603512813,3.1033617161885743,4.05,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-29,Serie A,Cremonese,Sassuolo,H,A,0.42170742792742133,0.3347692307692307,0.08693819715819062,2.371312274281559,2.82,Media mercato riportata da Football-Data.co.uk,-1.0
