target,league,selection,min_edge,min_odds,max_odds,bets,profit_units,roi,hit_rate,avg_odds,tested_seasons,positive_seasons,worst_season_roi
OU25,La Liga,OVER25,0.12,1.85,2.5,51,17.06,0.3345098039215686,0.5882352941176471,2.273529411764706,0,0,
OU25,La Liga,OVER25,0.12,1.4,2.5,52,16.060000000000002,0.3088461538461539,0.5769230769230769,2.2634615384615384,0,0,
OU25,La Liga,OVER25,0.12,1.55,2.5,52,16.060000000000002,0.3088461538461539,0.5769230769230769,2.2634615384615384,0,0,
OU25,La Liga,OVER25,0.12,1.7,2.5,52,16.060000000000002,0.3088461538461539,0.5769230769230769,2.2634615384615384,0,0,
OU25,La Liga,OVER25,0.12,2.0,2.5,48,14.190000000000001,0.295625,0.5625,2.2933333333333334,0,0,
OU25,La Liga,TUTTI,0.12,1.85,2.5,137,34.86,0.25445255474452555,0.5474452554744526,2.3036496350364963,1,1,0.32000000000000006
OU25,La Liga,TUTTI,0.12,1.4,2.5,138,33.86,0.2453623188405797,0.5434782608695652,2.2996376811594206,1,1,0.32000000000000006
OU25,La Liga,TUTTI,0.12,1.55,2.5,138,33.86,0.2453623188405797,0.5434782608695652,2.2996376811594206,1,1,0.32000000000000006
OU25,La Liga,TUTTI,0.12,1.7,2.5,138,33.86,0.2453623188405797,0.5434782608695652,2.2996376811594206,1,1,0.32000000000000006
OU25,La Liga,TUTTI,0.12,2.0,2.5,131,29.2,0.22290076335877862,0.5267175572519084,2.3201526717557255,1,1,0.2936363636363637
OU25,La Liga,UNDER25,0.12,1.4,2.5,86,17.8,0.20697674418604653,0.5232558139534884,2.321511627906977,0,0,
OU25,La Liga,UNDER25,0.12,1.55,2.5,86,17.8,0.20697674418604653,0.5232558139534884,2.321511627906977,0,0,
OU25,La Liga,UNDER25,0.12,1.7,2.5,86,17.8,0.20697674418604653,0.5232558139534884,2.321511627906977,0,0,
OU25,La Liga,UNDER25,0.12,1.85,2.5,86,17.8,0.20697674418604653,0.5232558139534884,2.321511627906977,0,0,
BTTS,Premier League,BTTS_NO,0.09,2.0,2.2,79,16.249999999999996,0.20569620253164553,0.569620253164557,2.1153164556962025,0,0,
BTTS,Serie A,BTTS_YES,0.09,2.0,3.0,54,11.049999999999999,0.2046296296296296,0.5185185185185185,2.3227777777777776,0,0,
BTTS,Serie A,BTTS_YES,0.09,2.0,4.0,54,11.049999999999999,0.2046296296296296,0.5185185185185185,2.3227777777777776,0,0,
BTTS,Serie A,BTTS_YES,0.09,2.0,,54,11.049999999999999,0.2046296296296296,0.5185185185185185,2.3227777777777776,0,0,
BTTS,Premier League,BTTS_NO,0.09,1.4,2.2,88,16.810000000000002,0.1910227272727273,0.5681818181818182,2.096363636363636,0,0,
BTTS,Premier League,BTTS_NO,0.09,1.55,2.2,88,16.810000000000002,0.1910227272727273,0.5681818181818182,2.096363636363636,0,0,
BTTS,Premier League,BTTS_NO,0.09,1.7,2.2,88,16.810000000000002,0.1910227272727273,0.5681818181818182,2.096363636363636,0,0,
BTTS,Premier League,BTTS_NO,0.09,1.85,2.2,87,15.999999999999996,0.18390804597701146,0.5632183908045977,2.0996551724137933,0,0,
OU25,La Liga,UNDER25,0.12,2.0,2.5,83,15.009999999999998,0.1808433734939759,0.5060240963855421,2.3356626506024103,0,0,
BTTS,Premier League,TUTTI,0.09,2.0,2.2,105,13.700000000000003,0.1304761904761905,0.5333333333333333,2.117809523809524,0,0,
BTTS,Serie A,BTTS_YES,0.09,1.4,3.0,68,8.579999999999998,0.12617647058823528,0.5,2.2405882352941178,1,1,0.4790000000000001
BTTS,Serie A,BTTS_YES,0.09,1.4,4.0,68,8.579999999999998,0.12617647058823528,0.5,2.2405882352941178,1,1,0.4790000000000001
BTTS,Serie A,BTTS_YES,0.09,1.4,,68,8.579999999999998,0.12617647058823528,0.5,2.2405882352941178,1,1,0.4790000000000001
BTTS,Serie A,BTTS_YES,0.09,1.55,3.0,68,8.579999999999998,0.12617647058823528,0.5,2.2405882352941178,1,1,0.4790000000000001
BTTS,Serie A,BTTS_YES,0.09,1.55,4.0,68,8.579999999999998,0.12617647058823528,0.5,2.2405882352941178,1,1,0.4790000000000001
BTTS,Serie A,BTTS_YES,0.09,1.55,,68,8.579999999999998,0.12617647058823528,0.5,2.2405882352941178,1,1,0.4790000000000001
BTTS,Serie A,BTTS_YES,0.09,1.7,3.0,68,8.579999999999998,0.12617647058823528,0.5,2.2405882352941178,1,1,0.4790000000000001
BTTS,Serie A,BTTS_YES,0.09,1.7,4.0,68,8.579999999999998,0.12617647058823528,0.5,2.2405882352941178,1,1,0.4790000000000001
BTTS,Serie A,BTTS_YES,0.09,1.7,,68,8.579999999999998,0.12617647058823528,0.5,2.2405882352941178,1,1,0.4790000000000001
BTTS,Serie A,BTTS_YES,0.09,1.85,3.0,67,7.829999999999998,0.11686567164179101,0.4925373134328358,2.247910447761194,0,0,
BTTS,Serie A,BTTS_YES,0.09,1.85,4.0,67,7.829999999999998,0.11686567164179101,0.4925373134328358,2.247910447761194,0,0,
BTTS,Serie A,BTTS_YES,0.09,1.85,,67,7.829999999999998,0.11686567164179101,0.4925373134328358,2.247910447761194,0,0,
OU25,Premier League,OVER25,0.09,2.0,2.2,55,6.33,0.11509090909090909,0.5272727272727272,2.1047272727272723,0,0,
OU25,TUTTI,UNDER25,0.12,1.4,2.2,82,7.74,0.09439024390243902,0.524390243902439,2.1058536585365855,1,1,0.44300000000000006
OU25,TUTTI,UNDER25,0.12,1.55,2.2,82,7.74,0.09439024390243902,0.524390243902439,2.1058536585365855,1,1,0.44300000000000006
OU25,TUTTI,UNDER25,0.12,1.7,2.2,82,7.74,0.09439024390243902,0.524390243902439,2.1058536585365855,1,1,0.44300000000000006
OU25,TUTTI,UNDER25,0.12,1.85,2.2,82,7.74,0.09439024390243902,0.524390243902439,2.1058536585365855,1,1,0.44300000000000006
OU25,Bundesliga,OVER25,0.09,1.4,2.2,44,4.0600000000000005,0.09227272727272728,0.5681818181818182,1.9686363636363635,0,0,
OU25,Premier League,OVER25,0.07,1.85,2.2,154,13.960000000000003,0.09064935064935066,0.5324675324675324,2.0514935064935065,2,2,0.17333333333333337
OU25,Bundesliga,OVER25,0.09,1.55,2.2,43,3.58,0.08325581395348837,0.5581395348837209,1.9799999999999998,0,0,
OU25,Premier League,OVER25,0.07,1.7,2.2,183,15.100000000000001,0.0825136612021858,0.5409836065573771,2.0081420765027325,3,3,0.19909090909090912
OU25,Premier League,OVER25,0.07,2.0,2.2,109,8.989999999999998,0.08247706422018347,0.5137614678899083,2.1046788990825687,0,0,
BTTS,Premier League,TUTTI,0.09,1.85,2.2,126,10.209999999999997,0.08103174603174601,0.5158730158730159,2.0889682539682544,1,0,-0.177
BTTS,Premier League,TUTTI,0.09,1.4,2.2,128,10.020000000000001,0.07828125000000001,0.515625,2.084453125,1,0,-0.177
BTTS,Premier League,TUTTI,0.09,1.55,2.2,128,10.020000000000001,0.07828125000000001,0.515625,2.084453125,1,0,-0.177
BTTS,Premier League,TUTTI,0.09,1.7,2.2,128,10.020000000000001,0.07828125000000001,0.515625,2.084453125,1,0,-0.177
OU25,Premier League,OVER25,0.09,1.7,2.2,85,6.030000000000001,0.07094117647058824,0.5294117647058824,2.0211764705882356,0,0,
OU25,Premier League,OVER25,0.05,2.0,2.2,214,15.070000000000004,0.07042056074766356,0.5093457943925234,2.1026168224299067,5,5,0.06850000000000003
OU25,Premier League,TUTTI,0.09,2.0,2.2,121,8.05,0.06652892561983471,0.5041322314049587,2.1076859504132233,0,0,
OU25,La Liga,UNDER25,0.09,1.4,2.5,248,16.03,0.06463709677419355,0.4717741935483871,2.2634274193548385,4,2,-0.10093750000000001
OU25,La Liga,UNDER25,0.09,1.55,2.5,248,16.03,0.06463709677419355,0.4717741935483871,2.2634274193548385,4,2,-0.10093750000000001
OU25,La Liga,UNDER25,0.09,1.7,2.5,248,16.03,0.06463709677419355,0.4717741935483871,2.2634274193548385,4,2,-0.10093750000000001
BTTS,Serie A,BTTS_YES,0.09,2.0,2.5,44,2.7599999999999993,0.06272727272727271,0.4772727272727273,2.2529545454545454,0,0,
OU25,Premier League,OVER25,0.09,1.85,2.2,74,4.629999999999999,0.06256756756756755,0.5135135135135135,2.057297297297297,0,0,
OU25,La Liga,UNDER25,0.09,1.85,2.5,247,15.2,0.061538461538461535,0.46963562753036436,2.2651821862348176,4,2,-0.10093750000000001
BTTS,La Liga,BTTS_YES,0.12,2.0,4.0,41,2.4199999999999995,0.05902439024390243,0.4146341463414634,2.4695121951219514,0,0,
