filter,season,bets,profit_units,roi,hit_rate,avg_odds
Bundesliga_A_edge12_odds2_5,2425,2,0.27,0.135,0.5,2.2649999999999997
Bundesliga_A_edge12_odds2_5,2526,91,17.01,0.18692307692307694,0.42857142857142855,2.8461538461538463
Bundesliga_A_edge12_odds2_5,TOTALE,93,17.28,0.18580645161290324,0.43010752688172044,2.8336559139784945
Bundesliga_A_edge12_odds2_5to5,2526,61,18.21,0.29852459016393446,0.4262295081967213,3.130491803278688
Bundesliga_A_edge12_odds2_5to5,TOTALE,61,18.21,0.29852459016393446,0.4262295081967213,3.130491803278688
SerieA_A_edge09_odds18_28,2324,2,-2.0,-1.0,0.0,2.49
SerieA_A_edge09_odds18_28,2425,8,2.220446049250313e-16,2.7755575615628914e-17,0.5,2.2037500000000003
SerieA_A_edge09_odds18_28,2526,66,7.060000000000002,0.106969696969697,0.5,2.248030303030303
SerieA_A_edge09_odds18_28,TOTALE,76,5.0600000000000005,0.06657894736842106,0.4868421052631579,2.2497368421052637
