league,selection,min_edge,season,bets,profit_units,roi,hit_rate,avg_odds,validated_seasons,positive_seasons,worst_recent_roi
Serie A,UNDER25,0.1,TOTALE,389,37.989999999999995,0.09766066838046271,0.5501285347043702,2.0283290488431875,3,3,0.07709302325581394
Serie A,UNDER25,0.12,TOTALE,307,23.740000000000002,0.07732899022801304,0.5342019543973942,2.04485342019544,3,3,0.021911764705882325
Serie A,UNDER25,0.07,TOTALE,531,27.54,0.05186440677966102,0.5329566854990584,2.0017514124293783,3,3,0.012653061224489798
Serie A,UNDER25,0.03,TOTALE,752,36.129999999999995,0.04804521276595744,0.5398936170212766,1.972313829787234,3,3,0.018321678321678303
Serie A,TUTTI,0.1,TOTALE,693,28.930000000000003,0.04174603174603175,0.5266955266955267,2.022077922077922,3,3,0.017253521126760547
Serie A,UNDER25,0.05,TOTALE,644,23.79,0.036940993788819876,0.532608695652174,1.983276397515528,3,2,-0.0028205128205128307
Serie A,TUTTI,0.07,TOTALE,954,18.45,0.019339622641509433,0.5188679245283019,2.0035010482180295,3,2,-0.01651041666666667
Serie A,TUTTI,0.05,TOTALE,1179,14.68,0.012451229855810009,0.5190839694656488,1.9910517387616622,3,2,-0.014896265560165982
Serie A,TUTTI,0.03,TOTALE,1396,6.770000000000003,0.004849570200573068,0.5164756446991404,1.9821919770773637,3,2,-0.016714801444043335
