league,selection,min_edge,season,bets,profit_units,roi,hit_rate,avg_odds
Premier League,TUTTI,0.07,2526,196,-30.05,-0.15331632653061225,0.42857142857142855,2.027551020408163
Serie A,OVER25,0.07,TOTALE,423,-9.09,-0.02148936170212766,0.5011820330969267,2.0056973995271865
Serie A,OVER25,0.07,2122,67,-1.559999999999999,-0.023283582089552224,0.582089552238806,1.7316417910447761
Serie A,OVER25,0.07,2223,61,-9.050000000000002,-0.14836065573770496,0.45901639344262296,1.8991803278688524
Serie A,OVER25,0.07,2324,85,-4.780000000000002,-0.056235294117647085,0.4823529411764706,2.0255294117647056
Serie A,OVER25,0.07,2425,94,-4.41,-0.04691489361702128,0.48936170212765956,2.0241489361702127
Serie A,OVER25,0.07,2526,116,10.71,0.09232758620689656,0.5,2.1905172413793106
Serie A,UNDER25,0.07,TOTALE,531,27.54,0.05186440677966102,0.5329566854990584,2.0017514124293783
Serie A,UNDER25,0.07,2122,98,10.39,0.10602040816326531,0.5102040816326531,2.241020408163265
Serie A,UNDER25,0.07,2223,134,-1.9900000000000002,-0.014850746268656718,0.5,1.9645522388059702
Serie A,UNDER25,0.07,2324,83,7.079999999999998,0.08530120481927708,0.5421686746987951,2.0112048192771086
Serie A,UNDER25,0.07,2425,98,1.2400000000000002,0.012653061224489798,0.5306122448979592,1.9427551020408163
Serie A,UNDER25,0.07,2526,118,10.819999999999999,0.09169491525423727,0.5847457627118644,1.8876271186440678
Serie A,TUTTI,0.07,TOTALE,954,18.45,0.019339622641509433,0.5188679245283019,2.0035010482180295
