league,bets,wins,profit_units,avg_edge,avg_odds,hit_rate,roi
Bundesliga,276,90,5.92,0.11759566467645108,3.6470652173913045,0.32608695652173914,0.021449275362318842
La Liga,298,89,-23.630000000000003,0.10160902473748964,3.4397986577181205,0.2986577181208054,-0.07929530201342283
Ligue 1,259,74,-49.17,0.1157402611032945,3.6384555984555984,0.2857142857142857,-0.18984555984555984
Premier League,263,95,13.57,0.10540771713671736,3.298022813688213,0.3612167300380228,0.05159695817490494
Serie A,328,108,-14.710000000000004,0.10209492894476244,3.468536585365854,0.32926829268292684,-0.04484756097560977
TOTALE,1424,456,-68.02000000000001,0.10809128282939919,3.496537921348315,0.3202247191011236,-0.04776685393258428
